hero_name,total,picks,bans,five_pick,sixseven_pick,eight_pick,fifteen_pick,sixteenseventeen_pick,eighteen_pick,twentythree_pick,twentyfour_pick,firstphase_ban,secondphase_ban,thirdphase_ban,winrate,pick_winrate,ban_winrate,league_name
Legion Commander,9,5,4,0,0,0,0,1,1,2,1,0,2,2,0.1111111111,0,0.25, The International 2022'
Phantom Assassin,9,4,5,0,0,0,0,0,1,1,2,0,0,5,0.2222222222,0,0.4, The International 2022'
Winter Wyvern,9,3,6,0,2,0,1,0,0,0,0,2,2,2,0.5555555556,0,0.8333333333, The International 2022'
Outworld Devourer,8,3,5,0,0,0,1,0,1,0,1,0,0,5,0.5,1,0.2, The International 2022'
Night Stalker,8,1,7,0,0,0,0,0,0,0,1,0,2,5,0.625,0,0.7142857143, The International 2022'
Omniknight,8,8,0,0,3,0,1,3,0,0,1,0,0,0,0.375,0.375,, The International 2022'
Weaver,8,4,4,0,1,0,0,0,1,2,0,0,2,2,0.125,0.25,0, The International 2022'
Dazzle,7,7,0,0,0,0,1,5,0,0,1,0,0,0,0.4285714286,0.4285714286,, The International 2022'
Earth Spirit,7,6,1,0,1,0,3,2,0,0,0,0,0,1,0.5714285714,0.6666666667,0, The International 2022'
Skywrath Mage,7,4,3,0,0,0,1,3,0,0,0,0,1,2,0.2857142857,0.25,0.3333333333, The International 2022'
Shadow Shaman,6,6,0,0,0,0,0,6,0,0,0,0,0,0,0.5,0.5,, The International 2022'
Axe,6,4,2,0,0,0,0,1,2,0,1,0,0,2,0.3333333333,0.25,0.5, The International 2022'
Huskar,6,2,4,0,0,0,0,0,0,1,1,0,1,3,0.3333333333,0.5,0.25, The International 2022'
Spirit Breaker,5,5,0,0,0,0,2,3,0,0,0,0,0,0,0.2,0.2,, The International 2022'
Phantom Lancer,5,1,4,0,0,0,0,0,0,1,0,0,1,3,0.4,0,0.5, The International 2022'
Underlord,5,3,2,0,0,0,0,1,0,1,1,0,0,2,0.4,0.3333333333,0.5, The International 2022'
Alchemist,5,4,1,0,0,0,0,0,1,1,2,0,0,1,0.2,0.25,0, The International 2022'
Juggernaut,5,3,2,0,0,0,0,0,0,3,0,0,1,1,0.2,0,0.5, The International 2022'
Dark Willow,5,5,0,0,2,0,1,1,0,1,0,0,0,0,0.2,0.2,, The International 2022'
Abbadon,5,3,2,0,0,0,0,2,0,1,0,0,1,1,0.4,0.3333333333,0.5, The International 2022'
Bristleback,5,4,1,0,0,0,0,0,2,0,2,0,1,0,0.6,0.75,0, The International 2022'
Wraith King,4,3,1,0,0,1,0,0,0,0,2,0,0,1,0.5,0.6666666667,0, The International 2022'
Tinker,4,2,2,0,0,0,0,0,0,0,2,0,0,2,0.5,0.5,0.5, The International 2022'
Elder Titan ,4,4,0,1,2,0,0,1,0,0,0,0,0,0,0.75,0.75,, The International 2022'
Ogre Magi,4,4,0,0,0,0,0,3,1,0,0,0,0,0,0.5,0.5,, The International 2022'
Lion,4,3,1,0,0,0,1,1,0,1,0,0,0,1,0.25,0.3333333333,0, The International 2022'
Grimstroke,4,2,2,0,1,0,0,0,1,0,0,0,1,1,0.25,0.5,0, The International 2022'
Anti-Mage,3,2,1,0,0,0,0,0,0,1,1,0,0,1,0.6666666667,0.5,1, The International 2022'
Medusa,3,3,0,0,0,0,0,0,1,2,0,0,0,0,0.3333333333,0.3333333333,, The International 2022'
Warlock,2,2,0,0,0,0,0,2,0,0,0,0,0,0,0.5,0.5,, The International 2022'
Sand King,2,2,0,0,0,0,0,1,0,1,0,0,0,0,1,1,, The International 2022'
Spectre,2,2,0,0,0,0,0,0,0,1,1,0,0,0,0.5,0.5,, The International 2022'
Riki,2,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0, The International 2022'
Necrophos,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,,0, The International 2022'
Io,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,, The International 2022'
Pugna,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,, The International 2022'
